time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2016. 02,673,0,100.5,100.3,100.6,100.1,100.8,82926,,3614625,3489365,110316,48299,45298,3001,89805,56441,33364,84805,51476,33329,102872,67966,34905,58778,51227,7550,162.8,164.2,123.5,4155355,4248755,1491936,175274
2016. 03,674,0,103.2,99.6,101,99.1,101,87057,,3614234,3489476,110523,52925,48891,4034,112791,75128,37663,106199,68799,37400,112472,84051,28421,71669,64889,6780,193.6,195.9,131.1,3306994,3375646,1460743,171911
2016. 04,675,0,101.4,99.8,101.1,98.4,100,85319,,3613785,3487573,111669,52620,48844,3776,105613,69172,36441,98933,62550,36383,106370,77624,28746,65954,59322,6632,184.3,186.1,127.7,3365207,3423230,1507889,173404
2016. 05,676,0,103.2,103,101.3,101.4,103.6,86974,,3613992,3485042,112902,52688,50312,2376,101997,64404,37592,96176,58602,37574,103294,75003,28291,66037,59119,6918,183.1,185,125.7,3183872,3240767,1445621,174963
2016. 06,677,0,102.3,101.1,101.7,100.3,103.8,87844,,3614863,3480041,117731,49571,46780,2791,100868,63359,37509,96459,58978,37481,101040,76713,24327,68561,60875,7686,188.2,190,128.3,3380392,3437761,1533223,176736
2016. 07,678,0,101.8,101.5,102.2,99.2,102.8,90630,,3617757,3482870,118530,46886,43787,3099,101725,69621,32104,96740,64739,32001,98097,73782,24314,59146,53341,5805,186.5,188.4,127.4,3556514,3621884,1487863,177834
2016. 08,679,0,100.9,98.5,102.4,97.2,101,92224,,3620416,3489425,114599,48489,46440,2049,97971,62783,35188,93312,58129,35183,95346,66217,29129,62139,55403,6736,180.4,182.1,127.1,3398097,3456653,1552800,180385
2016. 09,680,0,101.9,97.4,102.8,97.5,101.4,87732,,3628114,3501058,110824,51672,48595,3076,101082,65239,35843,97328,61505,35823,93225,61150,32074,53877,48761,5116,169.5,171,118.2,3810008,3876403,1513855,182817
2016. 10,681,0,99.5,99,103.2,95.7,100.6,79681,,3635446,3507384,112198,51787,49856,1931,109221,71855,37367,105039,67679,37360,101522,73618,27904,62667,57339,5329,182.1,183.5,131.6,3500653,3554180,1659985,184174
2016. 11,682,0,104.9,101.3,103.4,100.2,105.3,80155,,3642783,3516373,110657,47874,45429,2446,99428,63234,36194,95057,58989,36067,91980,63897,28083,56776,51585,5192,194.4,196.3,130.9,3312314,3363489,1608332,184830
2016. 12,683,0,104.6,102.3,103.5,97.9,104.3,76361,,3646129,3515668,114006,50717,48626,2091,98364,59095,39269,93737,54512,39224,95720,67873,27847,56976,51836,5140,192.6,194.6,129.7,4314114,4395158,1687876,185855
2017. 01,684,0,104.6,103.4,102.4,102.4,106.7,79637,,3640115,3514327,108927,44670,41735,2935,96478,58373,38105,90216,52165,38051,102898,70753,32145,50847,46592,4255,175.9,177.9,126.7,4748384,4872316,1650993,180864
2017. 02,685,0,103.4,99.9,102.1,98.4,104.8,82410,,3633563,3509096,107234,54085,51277,2808,107872,69878,37993,102475,64523,37951,114796,81705,33091,64569,59119,5451,177.5,179.3,123.3,3463531,3526481,1576614,176091
2017. 03,686,0,105.2,101.8,102.5,100.2,106.4,83371,,3633936,3512159,104430,57639,55193,2446,119944,77346,42598,113843,71354,42489,119686,85427,34258,67389,60963,6426,192.7,194.9,129.5,3415611,3481268,1567147,172823
2017. 04,687,0,103.2,101.6,102.6,98.6,104.4,80176,,3635096,3511074,105690,54221,51902,2319,110718,69651,41066,105639,64576,41063,110542,78943,31599,64026,59486,4540,180.3,182.6,119.6,3476422,3546518,1579373,173892
2017. 05,688,0,105.1,99.2,102.8,99.1,105.4,81321,,3630187,3505080,107150,54916,52854,2063,105636,64410,41226,101125,59921,41203,110171,79319,30851,66831,61090,5741,175.8,177.8,122.6,3293298,3357309,1546021,174712
