time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2010. 11,610,11,92.606,63.514,92.308,98.46,89.879,,,15313,14002,1311,71,43,28,777,229,549,713,164,549,626,144,482,188,110,78,,,,,,,
2010. 12,611,11,94.68,68.768,92.308,104.308,95.142,,,14940,13590,1286,59,56,3,1704,203,1501,1650,149,1501,2141,204,1936,273,149,124,,,,,,,
2011. 01,612,11,92.426,60.362,93.864,95.428,92.393,,,14256,12976,1236,84,71,14,2460,300,2160,2416,257,2160,3124,379,2745,221,165,56,198.1,202.4,149.8,3633851,3861697,1075052,
2011. 02,613,11,89.36,66.55,93.864,95.205,90.2,,,14336,13138,1198,64,27,37,671,210,461,620,172,448,547,115,432,217,94,123,166.6,169.6,134.5,3876543,4139366,1006437,
2011. 03,614,11,95.942,74.256,94.139,98.079,94.96,,,14551,13259,1292,52,49,3,728,191,537,707,170,537,513,182,331,219,158,61,198.2,203.4,134,2876109,3035665,891849,
2011. 04,615,11,88.188,74.956,94.048,94.133,88.106,,,14736,13330,1406,112,62,49,1251,275,977,1230,256,973,1066,225,841,211,139,72,197.8,202.9,155.3,3281433,3558004,973692,
2011. 05,616,11,86.564,82.487,95.33,91.064,88.01,,,14802,13441,1361,80,67,12,1020,286,735,998,264,735,954,172,782,203,136,67,192.6,196.6,161.9,2768955,2960854,1290351,
2011. 06,617,11,90.712,87.157,95.513,95.268,91.221,,,14965,13513,1452,63,60,3,1107,152,955,1082,127,955,944,161,783,535,125,410,198.5,203.6,164.3,3286254,3614158,1112276,
2011. 07,618,11,90.261,83.071,95.513,94.816,93.74,,,15056,13633,1423,74,70,3,967,180,787,931,145,787,876,150,726,223,116,107,199,202,181.1,2900574,3177730,1216366,
2011. 08,619,11,90.442,83.596,95.513,93.621,90.384,,,14987,13633,1354,76,74,2,764,175,589,731,147,584,833,214,619,223,153,70,199.3,202.7,169.3,3474409,3732677,1208173,
2011. 09,620,11,90.893,76.416,95.513,96.217,91.174,,,14896,13710,1186,117,98,18,849,170,679,818,139,679,940,133,807,225,106,119,183.9,188.8,141.9,3504666,3782484,1102604,
2011. 10,621,11,88.458,69.819,95.513,93.402,88.177,,,14836,13735,1101,147,120,27,1103,259,843,1052,208,843,1163,184,979,254,161,93,186.9,190.5,154,3315018,3535578,1282151,
2011. 11,622,11,97.295,60.362,95.513,102.033,97.586,,,14794,13622,1172,132,106,27,1084,115,969,1051,82,969,1126,232,894,294,211,82,195.3,201.7,136.8,2777691,2968296,1046496,
2011. 12,623,11,86.474,68.301,95.513,90.515,87.087,,,14949,13694,1255,128,102,27,1010,266,744,974,230,744,855,223,632,229,113,116,194.9,200,142.5,3547224,3781367,1127421,
2012. 01,624,11,90.803,77.058,95.421,95.396,89.816,,,14751,13585,1166,144,117,27,1286,193,1093,1239,146,1093,1484,305,1178,270,212,58,184.5,189.2,125,3711103,3923097,1027049,
2012. 02,625,11,92.967,68.36,95.513,96.882,92.669,,,14774,13785,989,124,96,28,502,303,199,419,229,191,479,202,277,280,125,155,190.3,192.8,144.9,3992576,4156767,1083701,
2012. 03,626,11,94.229,92.119,96.062,96.694,92.792,,,14897,13864,1033,114,85,29,452,177,275,437,162,275,329,177,152,179,142,38,190.8,194.5,148.7,3154438,3336091,1057738,
2012. 04,627,11,94.409,72.68,96.154,97.991,94.215,,,14794,13882,912,98,79,19,604,129,475,584,109,475,707,166,541,360,135,225,189.9,195.5,134.6,3826642,4114121,1010706,
2012. 05,628,11,100.271,87.157,97.527,103.431,100.803,,,14912,13856,1056,97,67,30,542,94,448,532,83,448,424,237,187,271,149,122,199.1,201.3,175.8,3002050,3169394,1257860,
2012. 06,629,11,97.565,84.005,97.527,99.28,96.051,,,15022,13905,1117,70,51,20,596,150,446,582,136,446,486,164,323,388,129,260,195,196.7,178.9,3549425,3769473,1431450,
2012. 07,630,11,97.475,95.388,97.527,99.921,98.316,,,15210,13950,1260,121,103,18,662,163,499,634,135,499,474,188,286,274,143,131,202.7,206.3,161.1,3138219,3305100,1240936,
2012. 08,631,11,98.106,82.896,97.527,98.398,95.008,,,15117,13983,1134,147,90,57,452,169,283,427,144,283,545,204,341,293,152,141,197.2,203.2,130.3,3740503,3981399,1037784,
2012. 09,632,11,96.303,79.276,97.619,97.663,95.764,,,15101,14061,1040,105,101,3,384,125,260,353,93,260,400,183,217,204,142,61,189.3,194.4,125,3878086,4097388,1128261,
2012. 10,633,11,98.377,75.306,97.711,96.773,95.769,,,15076,14238,838,147,118,29,399,183,216,349,133,216,424,89,335,102,66,36,190.5,192.5,153.6,3631385,3753822,1288515,
2012. 11,634,11,98.828,85.581,97.711,99.818,98.528,,,15160,14256,904,108,104,3,392,129,263,367,104,263,308,160,149,150,103,47,196.5,198.9,157.1,2966971,3076328,1189477,
2012. 12,635,11,96.664,78.05,97.711,97.959,95.403,,,15268,14193,1075,130,123,7,461,83,378,452,74,378,353,238,115,220,196,24,176.4,178.5,147.1,3752744,3928384,1233786,
2013. 01,636,11,95.221,84.53,96.703,101.943,98.339,,,14856,13887,969,109,77,31,525,284,242,470,228,242,937,602,335,469,371,98,195.6,199.6,144.6,3250082,3414171,1188537,
2013. 02,637,11,93.598,76.299,96.703,93.467,91.95,,,14843,13962,880,106,72,34,272,158,114,214,100,114,285,143,142,160,74,86,171,172.8,140.3,5080793,5314779,1204007,
2013. 03,638,11,95.491,74.489,96.703,98.241,93.873,,,14631,13805,826,159,126,33,444,145,299,408,109,299,655,343,313,417,250,167,182,183.5,152.3,3158664,3261291,1164601,
2013. 04,639,11,94.319,77.875,97.436,97.374,93.709,,,14752,13949,804,163,78,85,508,259,248,428,180,248,387,152,235,187,121,66,197.5,199.4,157.6,3583847,3694345,1223862,
2013. 05,640,11,95.311,68.943,97.619,96.614,93.329,,,14869,14053,816,122,59,63,382,201,181,339,159,180,266,116,150,132,99,32,191.8,193.6,152.2,3040206,3123044,1242902,
2013. 06,641,11,94.5,85.522,97.894,96.79,93.712,,,14885,14045,840,185,133,52,521,139,382,463,80,382,505,196,309,164,120,44,174.9,177.8,129.3,3542360,3696030,1096225,
2013. 07,642,11,98.197,85.989,98.077,98.587,98.568,,,15045,14114,931,133,84,49,536,204,331,527,196,331,375,168,207,167,101,67,202.8,205.6,158.5,3216882,3338645,1285100,
2013. 08,643,11,99.459,76.708,98.26,94.627,94.068,,,15202,14283,918,118,99,19,530,302,228,439,245,194,374,196,178,158,95,63,185,187.5,145.7,3999142,4177626,1192355,
2013. 09,644,11,97.295,85.989,98.443,98.374,96.965,,,15124,14372,751,82,53,30,447,269,178,325,147,178,525,238,287,228,138,90,170.7,173.1,125.8,4053521,4217482,1044983,
2013. 10,645,11,100.09,82.02,98.443,102.603,98.112,,,14987,14389,597,86,62,23,311,105,206,297,92,206,447,127,320,151,87,64,189.8,191.9,149,3718137,3851028,1115241,
2013. 11,646,11,97.115,85.231,98.443,96.649,94.915,,,15130,14146,984,219,161,58,466,129,337,459,129,330,322,169,153,132,111,21,183.6,187.1,131.6,2931067,3045057,1235785,
2013. 12,647,11,100.271,101.985,98.077,108.133,103.089,,,15233,14191,1042,185,180,5,543,189,354,536,182,354,440,212,228,141,125,16,185,188.6,134.6,3787527,3973643,1191402,
2014. 01,648,11,99.82,87.157,98.168,100.96,96.876,475,495622750,15214,14260,954,144,121,23,449,232,217,409,192,217,469,288,180,148,132,15,182.7,186.3,124.9,3514803,3657633,1173533,48
2014. 02,649,11,96.393,84.413,98.168,101.723,98.414,487,437191630,15120,14222,899,177,142,35,441,118,323,426,104,322,534,281,253,185,82,103,178.1,179.7,133.1,4477015,4596392,1190673,48
2014. 03,650,11,98.197,91.36,98.626,101.07,97.655,519,502314230,15403,14302,1101,226,120,106,584,285,299,565,266,299,301,183,118,190,142,49,187.5,190,141.7,3239521,3351060,1202422,50
2014. 04,651,11,100.721,89.375,98.901,103.852,100.823,523,535041540,15730,14547,1183,250,189,61,897,293,604,893,289,604,570,164,406,246,102,144,195.2,199.2,136.7,3744256,3910905,1301768,61
2014. 05,652,11,99.279,89.317,98.901,99.615,98.396,496,529698910,15952,14859,1093,152,149,3,774,322,452,773,321,452,552,130,422,459,105,354,180.9,183,142.9,3187029,3286259,1330291,60
2014. 06,653,11,100.812,84.063,98.718,102.505,98.576,449,456269040,16065,14963,1102,124,124,0,600,224,376,558,182,376,487,245,242,335,158,177,182.4,184.1,151.2,5658818,5899683,1332833,65
2014. 07,654,11,99.639,86.106,99.084,100.469,100.05,472,490548550,16189,15006,1183,87,87,0,825,218,607,802,196,606,701,294,406,400,153,247,201.7,206.9,138.7,3176291,3346027,1116613,67
2014. 08,655,11,94.77,92.703,99.267,94.187,93.125,467,461485200,16314,15287,1028,76,76,0,542,191,351,537,188,349,417,123,294,212,108,105,175,179.4,118,3949707,4167178,1121290,81
2014. 09,656,11,96.934,93.695,99.359,100.716,98.463,450,496889310,16269,15335,933,127,94,33,448,219,228,442,214,228,493,166,328,240,117,122,177,178.7,143.2,4161562,4306470,1326925,76
2014. 10,657,11,99.008,101.284,99.267,100.519,97.776,420,437840110,16093,15133,960,122,94,28,402,94,308,390,82,308,578,223,355,172,131,41,187.8,189.2,160.7,3719986,3833888,1475424,75
2014. 11,658,11,94.319,79.918,99.267,94.895,93.939,393,362850530,16189,15183,1006,134,134,0,389,132,257,375,118,257,293,211,82,173,149,25,178.1,180.3,141.1,3129974,3238873,1228687,78
2014. 12,659,11,96.303,95.447,99.267,96.907,95.931,382,365358200,16333,15382,951,132,96,36,472,197,276,452,176,276,328,159,169,187,107,81,187.8,189.9,148.3,4292672,4458304,1317313,76
2015. 01,660,11,98.6,88.8,99.4,97.8,97.2,439,426255100,16611,15538,1072,226,130,96,791,386,405,769,364,405,513,270,243,267,177,90,181.8,183.9,141.4,3374603,3481688,1293490,79
2015. 02,661,11,98.1,97.9,99.9,96.2,97.2,496,444616780,16651,15580,1070,313,214,100,616,165,452,564,125,439,577,96,480,168,64,103,153.9,155.7,122.2,4623611,4825000,1231984,82
2015. 03,662,11,97.8,92.5,99.4,98.4,97.8,531,586164230,16796,15706,1090,240,185,55,767,303,464,723,268,455,621,199,423,262,161,101,191.1,193.8,148.5,3488765,3627229,1260040,82
2015. 04,663,11,99.8,101.1,99.5,100.4,99.4,523,564861720,17021,15844,1178,314,236,78,859,509,350,737,388,349,634,343,291,304,210,94,192.1,194.4,150.9,4054277,4200894,1390818,83
2015. 05,664,11,98.6,98.6,99.3,98.6,98.3,503,522530270,16979,15883,1096,367,254,113,820,288,532,812,281,531,862,277,585,376,263,113,171.5,173.1,146,3178427,3293748,1300426,82
2015. 06,665,11,98.4,95.6,99.9,100.3,100.1,509,526900800,17098,15900,1199,307,225,82,679,248,431,648,218,431,560,189,371,228,131,97,194.4,196.7,159.4,3796900,3956660,1435259,83
2015. 07,666,11,99.9,122.4,100.4,101,100.5,505,538204010,17112,16161,951,231,205,26,476,194,282,448,166,282,462,174,288,223,146,77,200.3,202.9,165.6,3411789,3558357,1458422,85
2015. 08,667,11,100.5,116,100.1,104.4,103.2,468,517142190,17040,15979,1061,207,181,26,455,237,218,394,176,218,528,180,347,224,147,78,178.6,180.5,152.6,3968722,4158559,1392908,84
2015. 09,668,11,102.8,99.3,100.2,101,101.2,462,505715920,17004,15990,1014,282,256,26,497,192,304,454,149,304,533,174,358,215,135,80,180.2,182.3,151.6,4400020,4622926,1434524,86
2015. 10,669,11,101.6,95.2,100.5,97.6,98.5,384,422799620,16951,15993,958,288,275,13,626,154,472,611,139,472,678,145,533,179,91,88,184.1,186.3,151.9,3776217,3945813,1352121,81
2015. 11,670,11,101,96.5,101,99.4,101.9,359,374319140,16890,15964,925,299,274,25,362,169,193,358,165,193,424,206,217,181,141,40,185.1,186.3,163.8,3442505,3568574,1288710,80
2015. 12,671,11,104.1,89.6,100.4,104.8,104.6,337,370889970,16786,15942,844,287,242,45,438,191,247,404,157,247,542,229,313,141,83,59,187.8,189.5,163,4358848,4558472,1512623,81
2016. 01,672,11,99.5,100.4,100.7,96.6,97.7,400,387760390,16881,16003,871,388,364,24,682,307,375,619,244,375,594,259,335,196,118,78,173.6,176.7,133.9,3616530,3794392,1297088,78
2016. 02,673,11,100.7,101.4,101,98.5,100.1,461,478833390,17041,16149,885,342,272,71,476,218,258,426,168,258,316,92,224,117,48,68,157.9,161.2,118.2,4438004,4712422,1203174,74
2016. 03,674,11,104.5,103.4,100.4,102.4,104.4,480,538342310,17102,16278,817,292,286,6,902,421,481,779,298,481,841,276,565,219,167,52,192.2,194.6,153.5,3446537,3575875,1385069,71
